,original_language,original_title,overview,genre
10,ja, Your Name. (2016) ,"['high', 'schooler', 'mitsuha', 'taki', 'complet', 'stranger', 'live', 'separ', 'live', 'one', 'night', 'suddenli', 'switch', 'place', 'mitsuha', 'wake', 'taki', '’s', 'bodi', 'bizarr', 'occurr', 'continu', 'happen', 'randomli', 'two', 'must', 'adjust', 'live', 'around']","['Animation', 'Romance', 'Drama']"
11,en,Pulp Fiction,"['burgerlov', 'hit', 'man', 'philosoph', 'partner', 'drugaddl', 'gangster', 'moll', 'washedup', 'boxer', 'converg', 'sprawl', 'comed', 'crime', 'caper', 'adventur', 'unfurl', 'three', 'stori', 'ingeni', 'trip', 'back', 'forth', 'time']","['Thriller', 'Crime']"
12,en,The Lord of the Rings: The Return of the King,"['armi', 'mass', 'final', 'battl', 'decid', 'fate', 'worldand', 'power', 'ancient', 'forc', 'light', 'dark', 'compet', 'determin', 'outcomeon', 'member', 'fellowship', 'ring', 'reveal', 'nobl', 'heir', 'throne', 'king', 'men', 'yet', 'sole', 'hope', 'triumph', 'evil', 'lie', 'brave', 'hobbit', 'frodo', 'accompani', 'loyal', 'friend', 'sam', 'hideou', 'wretch', 'gollum', 'ventur', 'deep', 'dark', 'heart', 'mordor', 'seemingli', 'imposs', 'quest', 'destroy', 'ring', 'power\u200b']","['Adventure', 'Fantasy', 'Action']"
13,en,Forrest Gump,"['man', 'low', 'iq', 'accomplish', 'great', 'thing', 'life', 'present', 'signific', 'histor', 'event', '—', 'in', 'case', 'far', 'exceed', 'anyon', 'imagin', 'could', 'despit', 'achiev', 'one', 'true', 'love', 'elud']","['Comedy', 'Drama', 'Romance']"
14,en,GoodFellas,"['true', 'stori', 'henri', 'hill', 'halfirish', 'halfsicilian', 'brooklyn', 'kid', 'adopt', 'neighbourhood', 'gangster', 'earli', 'age', 'climb', 'rank', 'mafia', 'famili', 'guidanc', 'jimmi', 'conway']","['Drama', 'Crime']"
15,it,"Il buono, il brutto, il cattivo","['civil', 'war', 'rage', 'union', 'confederaci', 'three', 'men', '–', 'quiet', 'loner', 'ruthless', 'hitman', 'mexican', 'bandit', '–', 'comb', 'american', 'southwest', 'search', 'strongbox', 'contain', '200000', 'stolen', 'gold']",['Western']
16,ja, Grave of the Fireflies (2005) ,"['final', 'month', 'world', 'war', 'ii', '14yearold', 'seita', 'sister', 'setsuko', 'orphan', 'mother', 'kill', 'air', 'raid', 'kobe', 'japan', 'fall', 'aunt', 'move', 'abandon', 'bomb', 'shelter', 'surviv', 'rel', 'emerg', 'ration', 'deplet', 'seita', 'setsuko', 'struggl', 'surviv']","['Animation', 'Drama', 'War']"
17,ja, Seven Samurai (1954) ,"['samurai', 'answer', 'villag', 'request', 'protect', 'fall', 'hard', 'time', 'town', 'need', 'protect', 'bandit', 'samurai', 'gather', 'six', 'other', 'help', 'teach', 'peopl', 'defend', 'villag', 'provid', 'soldier', 'food']","['Action', 'Drama']"
18,it,Nuovo Cinema Paradiso,"['filmmak', 'recal', 'childhood', 'fell', 'love', 'movi', 'villag', 'theater', 'form', 'deep', 'friendship', 'theater', 'projectionist']","['Drama', 'Romance']"
19,it,La vita è bella,"['touch', 'stori', 'italian', 'book', 'seller', 'jewish', 'ancestri', 'live', 'littl', 'fairi', 'tale', 'creativ', 'happi', 'life', 'would', 'come', 'abrupt', 'halt', 'entir', 'famili', 'deport', 'concentr', 'camp', 'world', 'war', 'ii', 'lock', 'tri', 'convinc', 'son', 'whole', 'thing', 'game']","['Comedy', 'Drama']"
20,es,Cosas imposibles,"['matild', 'woman', 'death', 'husband', '—', 'a', 'man', 'constantli', 'abus', 'her', '—', 'find', 'new', 'best', 'friend', 'miguel', 'young', 'insecur', 'disori', 'even', 'dealer', 'neighbor']","['Family', 'Drama']"
21,en,Radical,"['mexican', 'border', 'town', 'plagu', 'neglect', 'corrupt', 'violenc', 'frustrat', 'teacher', 'tri', 'radic', 'new', 'method', 'break', 'student', '’', 'apathi', 'unlock', 'curios', 'potenti', '…', 'mayb', 'even', 'geniu']",['Drama']
22,ja, Dou kyu sei – Classmates (2016) ,"['rihito', 'sajo', 'honor', 'student', 'perfect', 'score', 'entranc', 'exam', 'hikaru', 'kusakab', 'band', 'popular', 'among', 'girl', 'would', 'never', 'cross', 'path', 'one', 'day', 'start', 'talk', 'practic', 'school', '’s', 'upcom', 'choru', 'festiv', 'school', 'two', 'meet', 'regularli', 'hikaru', 'help', 'rihito', 'improv', 'sing', 'skill', 'listen', 'other', '’s', 'voic', 'harmon', 'heart', 'start', 'beat', 'togeth']","['Romance', 'Animation']"
23,en,Fight Club,"['tickingtimebomb', 'insomniac', 'slipperi', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggress', 'shock', 'new', 'form', 'therapi', 'concept', 'catch', 'underground', 'fight', 'club', 'form', 'everi', 'town', 'eccentr', 'get', 'way', 'ignit', 'outofcontrol', 'spiral', 'toward', 'oblivion']",['Drama']
24,en,Interstellar,"['adventur', 'group', 'explor', 'make', 'use', 'newli', 'discov', 'wormhol', 'surpass', 'limit', 'human', 'space', 'travel', 'conquer', 'vast', 'distanc', 'involv', 'interstellar', 'voyag']","['Adventure', 'Drama', 'Science Fiction']"
25,en,Psycho,"['larcen', 'real', 'estat', 'clerk', 'marion', 'crane', 'goe', 'lam', 'wad', 'cash', 'hope', 'start', 'new', 'life', 'end', 'notori', 'bate', 'motel', 'manag', 'norman', 'bate', 'care', 'housebound', 'mother']","['Horror', 'Thriller', 'Mystery']"
26,pt, City of God (2002) ,"['slum', 'rio', 'two', 'kid', 'path', 'diverg', 'one', 'struggl', 'becom', 'photograph', 'kingpin']","['Drama', 'Crime']"
27,en,Once Upon a Time in America,"['former', 'prohibitionera', 'jewish', 'gangster', 'return', 'lower', 'east', 'side', 'manhattan', 'thirti', 'year', 'later', 'must', 'confront', 'ghost', 'regret', 'old', 'life']","['Drama', 'Crime']"
28,en,Gabriel's Inferno,"['intrigu', 'sin', 'explor', 'seduct', 'forbidden', 'love', 'redempt', 'gabriel', 'inferno', 'captiv', 'wildli', 'passion', 'tale', 'one', 'man', 'escap', 'person', 'hell', 'tri', 'earn', 'impossibleforg', 'love']","['Romance', 'Drama']"
29,ko, Hope (2013) ,"['8yearold', 'sowon', 'narrowli', 'surviv', 'brutal', 'sexual', 'assault', 'famili', 'labor', 'help', 'heal', 'cope', 'rage', 'grief']",['Drama']
30,en,One Flew Over the Cuckoo's Nest,"['petti', 'crimin', 'fake', 'insan', 'serv', 'sentenc', 'mental', 'ward', 'rather', 'prison', 'soon', 'find', 'leader', 'patient', '—', 'and', 'enemi', 'cruel', 'domin', 'nurs', 'run', 'ward']",['Drama']
31,en,Primal: Tales of Savagery,"['genndi', 'tartakovski', 'primal', 'tale', 'savageri', 'featur', 'caveman', 'dinosaur', 'brink', 'extinct', 'bond', 'tragedi', 'unlik', 'friendship', 'becom', 'hope', 'surviv']","['Action', 'Adventure', 'Animation', 'Drama']"
32,en,The Lord of the Rings: The Fellowship of the Ring,"['young', 'hobbit', 'frodo', 'baggin', 'inherit', 'mysteri', 'ring', 'uncl', 'bilbo', 'must', 'leav', 'home', 'order', 'keep', 'fall', 'hand', 'evil', 'creator', 'along', 'way', 'fellowship', 'form', 'protect', 'ringbear', 'make', 'sure', 'ring', 'arriv', 'final', 'destin', 'mt', 'doom', 'place', 'destroy']","['Adventure', 'Fantasy', 'Action']"
33,en,Spider-Man: Into the Spider-Verse,"['struggl', 'find', 'place', 'world', 'juggl', 'school', 'famili', 'brooklyn', 'teenag', 'mile', 'moral', 'unexpectedli', 'bitten', 'radioact', 'spider', 'develop', 'unfathom', 'power', 'like', 'one', 'spiderman', 'wrestl', 'implic', 'new', 'abil', 'mile', 'discov', 'super', 'collid', 'creat', 'madman', 'wilson', 'kingpin', 'fisk', 'caus', 'other', 'across', 'spidervers', 'inadvert', 'transport', 'dimens']","['Animation', 'Action', 'Adventure', 'Science Fiction']"
34,ja, Howl's Moving Castle (2004) ,"['sophi', 'young', 'millin', 'turn', 'elderli', 'woman', 'witch', 'enter', 'shop', 'curs', 'encount', 'wizard', 'name', 'howl', 'get', 'caught', 'resist', 'fight', 'king']","['Fantasy', 'Animation', 'Adventure']"
35,pt, A Dog's Will (2000) ,"['live', 'joão', 'grilo', 'sli', 'chicó', 'poor', 'guy', 'live', 'hinterland', 'cheat', 'bunch', 'peopl', 'small', 'northeastern', 'brazil', 'die', 'judg', 'christ', 'devil', 'virgin', 'mari', 'admit', 'paradis']","['Comedy', 'Drama', 'Fantasy']"
36,en,Gabriel's Inferno: Part II,"['professor', 'gabriel', 'emerson', 'final', 'learn', 'truth', 'julia', 'mitchel', 'ident', 'realiz', 'come', 'moment', 'late', 'julia', 'done', 'wait', 'wellrespect', 'dant', 'specialist', 'rememb', 'want', 'noth', 'gabriel', 'win', 'back', 'heart', 'find', 'love', 'anoth', 'arm', '?']","['Romance', 'Drama']"
37,en,The Lord of the Rings: The Two Towers,"['frodo', 'baggin', 'member', 'fellowship', 'continu', 'sacr', 'quest', 'destroy', 'one', 'ringbut', 'separ', 'path', 'destini', 'lie', 'two', 'towersorthanc', 'tower', 'isengard', 'corrupt', 'wizard', 'saruman', 'await', 'sauron', 'fortress', 'baraddur', 'deep', 'within', 'dark', 'land', 'mordor', 'frodo', 'sam', 'trek', 'mordor', 'destroy', 'one', 'ring', 'power', 'gimli', 'legola', 'aragorn', 'search', 'orccaptur', 'merri', 'pippin', 'along', 'nefari', 'wizard', 'saruman', 'await', 'fellowship', 'member', 'orthanc', 'tower', 'isengard']","['Adventure', 'Fantasy', 'Action']"
38,zh, The Legend of Hei (2019) ,"['cat', 'spirit', 'luo', 'xiaohei', 'home', 'deforest', 'human', 'must', 'find', 'new', 'one', 'run', 'group', 'spirit', 'creatur', 'take', 'wing', 'dream', 'reconqu', 'land', 'say', 'right', 'howev', 'run', 'human', 'known', 'wuxian', 'separ', 'luo', 'xiaohei', 'spirit', 'two', 'go', 'journey', 'cat', 'spirit', 'learn', 'control', 'abil', 'well', 'form', 'thought', 'whether', 'not', 'alli', 'spirit', 'human']","['Animation', 'Fantasy', 'Action']"
39,en,The Empire Strikes Back,"['epic', 'saga', 'continu', 'luke', 'skywalk', 'hope', 'defeat', 'evil', 'galact', 'empir', 'learn', 'way', 'jedi', 'age', 'master', 'yoda', 'darth', 'vader', 'determin', 'ever', 'captur', 'luke', 'meanwhil', 'rebel', 'leader', 'princess', 'leia', 'cocki', 'han', 'solo', 'chewbacca', 'droid', 'c3po', 'r2d2', 'thrown', 'variou', 'stage', 'captur', 'betray', 'despair']","['Adventure', 'Action', 'Science Fiction']"
40,ja, Harakiri (1962) ,"['downonhisluck', 'veteran', 'tsugumo', 'hanshirō', 'enter', 'courtyard', 'prosper', 'hous', 'iyi', 'unemploy', 'famili', 'hope', 'find', 'place', 'commit', 'seppuku', '—', 'and', 'worthi', 'second', 'deliv', 'coup', 'de', 'grâce', 'suicid', 'ritual', 'senior', 'counselor', 'iyi', 'clan', 'question', 'ronin', '’s', 'resolv', 'integr', 'suspect', 'hanshirō', 'seek', 'chariti', 'rather', 'honor', 'end', 'follow', 'pair', 'interlock', 'stori', 'lay', 'bare', 'differ', 'honor', 'respect', 'promis', 'examin', 'legendari', 'foundat', 'samurai', 'code']","['Action', 'Drama', 'History']"
41,en,Taylor Swift: Reputation Stadium Tour,"['taylor', 'swift', 'take', 'stage', 'dalla', 'reput', 'stadium', 'tour', 'celebr', 'monument', 'night', 'music', 'memori', 'visual', 'magic']",['Music']
42,en,The Pianist,"['true', 'stori', 'pianist', 'władysław', 'szpilman', 'experi', 'warsaw', 'nazi', 'occup', 'jew', 'citi', 'find', 'forc', 'ghetto', 'szpilman', 'find', 'work', 'play', 'café', 'famili', 'deport', '1942', 'stay', 'behind', 'work', 'labor', 'eventu', 'goe', 'hide', 'ruin', 'wartorn', 'citi']","['Drama', 'War']"
43,en,Whiplash,"['direct', 'ruthless', 'instructor', 'talent', 'young', 'drummer', 'begin', 'pursu', 'perfect', 'cost', 'even', 'human']","['Drama', 'Music']"
44,en,Gabriel's Inferno: Part III,"['final', 'part', 'film', 'adapt', 'erot', 'romanc', 'novel', 'gabriel', 'inferno', 'written', 'anonym', 'canadian', 'author', 'pen', 'name', 'sylvain', 'reynard']","['Romance', 'Drama']"
45,ja, A Silent Voice: The Movie (2016) ,"['shouya', 'ishida', 'start', 'bulli', 'new', 'girl', 'class', 'shouko', 'nishimiya', 'deaf', 'teas', 'continu', 'rest', 'class', 'start', 'turn', 'shouya', 'lack', 'compass', 'leav', 'elementari', 'school', 'shouko', 'shouya', 'not', 'speak', 'older', 'wiser', 'shouya', 'torment', 'past', 'behaviour', 'decid', 'must', 'see', 'shouko', 'want', 'aton', 'sin', 'alreadi', 'late', '?']","['Animation', 'Drama']"
46,en,TAYLOR SWIFT | THE ERAS TOUR,"['cultur', 'phenomenon', 'continu', 'big', 'screen', '!', 'immers', 'onceinalifetim', 'concert', 'film', 'experi', 'breathtak', 'cinemat', 'view', 'historymak', 'tour']",['Music']
47,en,Se7en,"['two', 'homicid', 'detect', 'desper', 'hunt', 'serial', 'killer', 'whose', 'crime', 'base', 'seven', 'deadli', 'sin', 'dark', 'haunt', 'film', 'take', 'viewer', 'tortur', 'remain', 'one', 'victim', 'next', 'season', 'det', 'sommerset', 'research', 'sin', 'effort', 'get', 'insid', 'killer', 'mind', 'novic', 'partner', 'mill', 'scoff', 'effort', 'unravel', 'case']","['Crime', 'Mystery', 'Thriller']"
48,en,Inception,"['cobb', 'skill', 'thief', 'commit', 'corpor', 'espionag', 'infiltr', 'subconsci', 'target', 'offer', 'chanc', 'regain', 'old', 'life', 'payment', 'task', 'consid', 'imposs', 'incept', 'implant', 'anoth', 'person', 'idea', 'target', 'subconsci']","['Action', 'Science Fiction', 'Adventure']"
49,en,Spider-Man: Across the Spider-Verse,"['reunit', 'gwen', 'staci', 'brooklyn', '’s', 'fulltim', 'friendli', 'neighborhood', 'spiderman', 'catapult', 'across', 'multivers', 'encount', 'spider', 'societi', 'team', 'spiderpeopl', 'charg', 'protect', 'multivers', '’s', 'exist', 'hero', 'clash', 'handl', 'new', 'threat', 'mile', 'find', 'pit', 'spider', 'must', 'set', 'save', 'love']","['Animation', 'Action', 'Adventure', 'Science Fiction']"
50,en,Rear Window,"['wheelchairbound', 'photograph', 'spi', 'neighbor', 'apart', 'window', 'becom', 'convinc', 'one', 'commit', 'murder']","['Thriller', 'Mystery']"
51,en,The Silence of the Lambs,"['claric', 'starl', 'top', 'student', 'fbi', 'train', 'academi', ' ', 'jack', 'crawford', 'want', 'claric', 'interview', 'dr', 'hannib', 'lecter', 'brilliant', 'psychiatrist', 'also', 'violent', 'psychopath', 'serv', 'life', 'behind', 'bar', 'variou', 'act', 'murder', 'cannib', ' ', 'crawford', 'believ', 'lecter', 'may', 'insight', 'case', 'starl', 'attract', 'young', 'woman', 'may', 'bait', 'draw']","['Crime', 'Drama', 'Thriller']"
52,en,American History X,"['derek', 'vineyard', 'parol', 'serv', '3', 'year', 'prison', 'kill', 'two', 'africanamerican', 'men', 'brother', 'danni', 'vineyard', 'narrat', 'learn', 'go', 'prison', 'derek', 'skinhead', 'leader', 'violent', 'white', 'supremacist', 'gang', 'commit', 'act', 'racial', 'crime', 'throughout', 'la', 'action', 'greatli', 'influenc', 'danni', 'reform', 'fresh', 'prison', 'derek', 'sever', 'contact', 'gang', 'becom', 'determin', 'keep', 'danni', 'go', 'violent', 'path']",['Drama']
53,ja, Princess Mononoke (1997) ,"['ashitaka', 'princ', 'disappear', 'emishi', 'peopl', 'curs', 'demon', 'boar', 'god', 'must', 'journey', 'west', 'find', 'cure', 'along', 'way', 'encount', 'san', 'young', 'human', 'woman', 'fight', 'protect', 'forest', 'ladi', 'eboshi', 'tri', 'destroy', 'ashitaka', 'must', 'find', 'way', 'bring', 'balanc', 'conflict']","['Adventure', 'Fantasy', 'Animation']"
54,ja, The Quintessential Quintuplets Movie (2022) ,"['five', 'love', 'young', 'girl', 'hate', 'studi', 'hire', 'parttim', 'tutor', 'futaro', 'guid', 'not', 'educ', 'also', 'heart', 'time', 'spent', 'brought', 'closer', 'feel', 'grow', 'within', 'girl', 'futaro', 'finish', 'third', 'year', 'high', 'school', 'last', 'school', 'festiv', 'approach', 'set', 'sight', 'what', '’s', 'next', 'futur', 'one', 'futaro', '?']","['Animation', 'Comedy', 'Romance']"
55,en,Once Upon a Studio,"['creat', 'disney', '100th', 'anniversari', 'short', 'featur', 'mickey', 'mous', 'corral', 'galleri', 'legendari', 'disney', 'charact', 'group', 'photo']","['Animation', 'Family', 'Fantasy', 'Comedy']"
56,ja, Hotarubi no Mori e (2011) ,"['one', 'hot', 'summer', 'day', 'littl', 'girl', 'get', 'lost', 'enchant', 'forest', 'mountain', 'god', 'spirit', 'resid', 'young', 'boy', 'appear', 'can', 'not', 'touch', 'fear', 'make', 'disappear', 'wondrou', 'adventur', 'await']","['Romance', 'Animation', 'Fantasy']"
57,en,The Great Dictator,"['dictat', 'adenoid', 'hynkel', 'tri', 'expand', 'empir', 'poor', 'jewish', 'barber', 'tri', 'avoid', 'persecut', 'hynkel', 'regim']","['Comedy', 'War']"
58,ja, High and Low (1963) ,"['midst', 'attempt', 'take', 'compani', 'powerhous', 'execut', 'hit', 'huge', 'ransom', 'demand', 'servant', 'son', 'kidnap']","['Drama', 'Crime', 'Mystery']"
59,ja, Neon Genesis Evangelion: The End of Evangelion (1997) ,"['seel', 'order', 'allout', 'attack', 'nerv', 'aim', 'destroy', 'eva', 'gendo', 'trigger', 'third', 'impact', 'instrument', 'control']","['Animation', 'Science Fiction', 'Action', 'Drama']"
60,en,Back to the Future,"['eighti', 'teenag', 'marti', 'mcfli', 'accident', 'sent', 'back', 'time', '1955', 'inadvert', 'disrupt', 'parent', 'first', 'meet', 'attract', 'mother', 'romant', 'interest', 'marti', 'must', 'repair', 'damag', 'histori', 'rekindl', 'parent', 'romanc', ' ', 'help', 'eccentr', 'inventor', 'friend', 'doc', 'brown', ' ', 'return', '1985']","['Adventure', 'Comedy', 'Science Fiction']"
61,es,Dedicada A Mi Ex,"['film', 'tell', 'stori', 'ariel', '21yearold', 'decid', 'form', 'rock', 'band', 'compet', 'prize', 'ten', 'thousand', 'dollar', 'music', 'band', 'contest', 'last', 'option', 'tri', 'get', 'money', 'save', 'relationship', 'reunit', 'exgirlfriend', 'break', 'due', 'trip', 'must', 'make', 'finland', 'internship', 'ariel', 'friend', 'ortega', 'decid', 'make', 'cast', 'find', 'member', 'band', 'although', 'not', 'know', 'noth', 'music', 'thu', 'form', 'band', 'member', 'divers', 'opposit', 'person']","['Drama', 'Comedy']"
62,en,Dead Poets Society,"['elit', 'oldfashion', 'board', 'school', 'new', 'england', 'passion', 'english', 'teacher', 'inspir', 'student', 'rebel', 'convent', 'seiz', 'potenti', 'everi', 'day', 'court', 'disdain', 'stern', 'headmast']",['Drama']
63,en,Sunset Boulevard,"['hack', 'screenwrit', 'write', 'screenplay', 'former', 'silent', 'film', 'star', 'fade', 'hollywood', 'obscur']",['Drama']
64,ja, The Boy and the Heron (2023) ,"['kanji', 'watanab', 'middleag', 'man', 'work', 'monoton', 'bureaucrat', 'posit', 'decad', 'learn', 'cancer', 'start', 'look', 'mean', 'life']",['Drama']
65,en,Léon: The Professional,"['léon', 'top', 'hit', 'man', 'new', 'york', 'earn', 'rep', 'effect', 'cleaner', 'nextdoor', 'neighbor', 'wipe', 'loosecannon', 'dea', 'agent', 'becom', 'unwil', 'custodian', '12yearold', 'mathilda', 'long', 'mathilda', 'thought', 'turn', 'reveng', 'consid', 'follow', 'léon', 'footstep']","['Crime', 'Drama', 'Action']"
66,ja, Perfect Blue (1998) ,"['encourag', 'manag', 'rise', 'pop', 'star', 'mima', 'take', 'recur', 'role', 'popular', 'tv', 'show', 'suddenli', 'handler', 'collabor', 'begin', 'turn', 'murder']","['Animation', 'Thriller']"
67,en,Modern Times,"['bumbl', 'tramp', 'desir', 'build', 'home', 'young', 'woman', 'yet', 'thwart', 'time', 'time', 'lack', 'experi', 'habit', 'wrong', 'place', 'wrong', 'time']","['Comedy', 'Drama', 'Romance']"
68,it,C'era una volta il West,"['railroad', 'builder', 'advanc', 'unstopp', 'arizona', 'desert', 'way', 'sea', 'jill', 'arriv', 'small', 'town', 'flagston', 'intent', 'start', 'new', 'life']","['Drama', 'Western']"
69,en,Apocalypse Now,"['height', 'vietnam', 'war', 'captain', 'benjamin', 'willard', 'sent', 'danger', 'mission', 'offici', 'not', 'exist', 'ever', 'exist', 'goal', 'locat', ' ', 'elimin', ' ', 'mysteri', 'green', 'beret', 'colonel', 'name', 'walter', 'kurtz', 'lead', 'person', 'armi', 'illeg', 'guerrilla', 'mission', 'enemi', 'territori']","['Drama', 'War']"
70,fr,Le Trou,"['four', 'prison', 'inmat', 'hatch', 'plan', 'liter', 'dig', 'jail', 'anoth', 'prison', 'claud', 'gaspard', 'move', 'cell', 'take', 'risk', 'share', 'plan', 'newcom', 'cours', 'three', 'day', 'prison', 'friend', 'break', 'concret', 'floor', 'use', 'bed', 'post', 'begin', 'make', 'way', 'sewer', 'system', ' ', 'yet', 'escap', 'anyth', 'assur']","['Drama', 'Thriller', 'Crime']"
71,en,City Lights,"['tramp', 'fall', 'love', 'beauti', 'blind', 'flower', 'girl', 'onandoff', 'friendship', 'wealthi', 'man', 'allow', 'girl', 'benefactor', 'suitor']","['Comedy', 'Romance', 'Drama']"
72,fr,Intouchables,"['true', 'stori', 'two', 'men', 'never', 'met', '–', 'quadripleg', 'aristocrat', 'injur', 'paraglid', 'accid', 'young', 'man', 'project']","['Drama', 'Comedy']"
73,ja," Josee, the Tiger and the Fish (2020) ","['dream', 'dive', 'abroad', 'tsuneo', 'get', 'job', 'assist', 'jose', 'artist', 'whose', 'imagin', 'take', 'far', 'beyond', 'wheelchair', 'tide', 'turn', 'push', 'place', 'never', 'thought', 'possibl', 'inspir', 'love', 'fit', 'storybook']","['Animation', 'Drama', 'Romance']"
74,en,Life in a Year,"['17', 'year', 'old', 'find', 'girlfriend', 'die', 'set', 'give', 'entir', 'life', 'last', 'year', 'left']","['Drama', 'Romance']"
75,en,Paths of Glory,"['command', 'offic', 'defend', 'three', 'scapegoat', 'trial', 'fail', 'offens', 'occur', 'within', 'french', 'armi', '1916']","['War', 'Drama', 'History']"
76,en,It's a Wonderful Life,"['holiday', 'favourit', 'gener', ' ', 'georg', 'bailey', 'spent', 'entir', 'life', 'give', 'peopl', 'bedford', 'fall', ' ', 'prevent', 'rich', 'skinflint', 'mr', 'potter', 'take', 'entir', 'town', 'georg', 'modest', 'build', 'loan', 'compani', ' ', 'christma', 'eve', 'businesss', '8000', 'lost', 'georg', 'troubl', 'begin']","['Drama', 'Family', 'Fantasy']"
77,en,Five Feet Apart,"['seventeenyearold', 'stella', 'spend', 'time', 'hospit', 'cystic', 'fibrosi', 'patient', 'life', 'full', 'routin', 'boundari', 'selfcontrol', '—', 'get', 'put', 'test', 'meet', 'imposs', 'charm', 'teen', 'ill', 'there', 's', 'instant', 'flirtat', 'though', 'restrict', 'dictat', 'must', 'maintain', 'safe', 'distanc', 'connect', 'intensifi', 'temptat', 'throw', 'rule', 'window', 'embrac', 'attract']","['Romance', 'Drama']"
78,en,"The Boy, the Mole, the Fox and the Horse","['unlik', 'friendship', 'boy', 'mole', 'fox', 'hors', 'travel', 'togeth', 'boy', 'search', 'home']","['Animation', 'Family', 'Adventure', 'Fantasy']"
79,tr, Miracle in Cell No. 7 (2019) ,"['separ', 'daughter', 'father', 'intellectu', 'disabl', 'must', 'prove', 'innoc', 'jail', 'death', 'command', 'child']",['Drama']
80,ja, Given (2020) ,"['relationship', 'band', 'bassist', 'drummer', 'drummer', '’s', 'roommat', 'exboyfriend', 'profession', 'violinist']","['Animation', 'Drama', 'Music', 'Romance']"
