,name,description,ResponsibleMissionDirectorate:,LeadOrganization:,ResponsibleProgram:,ProgramDirector:,ProgramManager:,ProjectManager:,PrincipalInvestigator:,Co-Investigator:,Start,End,ProjectManagers:,PrincipalInvestigators:,LeadCenter/Facility:,ProgramDirectors:,Co-Investigators:,ProgramManagers:
34,Quantum Dot-based Miniaturized Multispectral Imager for Auroral Studies,"We propose to design, develop and demonstrate an ultra-compact, low mass, high resolution multispectral imager based on an innovative concept of Quantum Dot Array (QDA). QDA acts as an absorptive filter array and replaces prisms and gratings that require long path length to achieve high spectral resolution. We will design this first prototype to image the Auroral emissions at the visible wavelengths. However, we can extend the capability to ultraviolet wavelengths relatively easily to image the Sun in the near future. The proposed instrument technology development effort addresses NASA's Heliophysics Science Strategic Objective: ""to understand the Sun and its interactions with Earth and the solar system, including space weather"", and the Science Goal: ""Explore the physical processes in the space environment from the Sun to the Earth and throughout the solar system"". Quantum Dots (QD) are semiconductor nanocrystals with a size smaller than twice its exciton Bohr radius, leading to quantum confinement of electric charges, and a unique absorbance spectrum. As the size of QD decreases, the confinement strengthens, increasing the bandgap, and shifting the absorbance spectrum in wavelength. This size dependent bandgap, and thus absorbance, makes it possible to produce a well-defined, continuously tunable, yet distinct, set of absorptive filters, where each pixel is made of QDs of a specific size, shape or composition. Such a filter array can be integrated to a detector array to make a compact imaging instrument. Reducing path length is an advantage also provided by wedged filters; however, QDAs are much cheaper and provides the additional benefit of customizing the wavelength and bandwidth of only the spectral features of interest in order to maximize the signal to noise performance. The sample spectrum can be mathematically reconstructed using the characteristic response of each of the filters and measurements made by the instrument based on wavelength multiplexing principle. The compactness and low resource nature of this potentially revolutionary technique makes it a suitable instrument for small satellite missions such as CubeSats. In this effort, we will leverage our existing collaboration with Professor Bawendi at Massachusetts Institute of Technology, one of the pioneers of quantum dots. We will design and develop the spectrometer to image the key lines of Auroral emissions, including 486.1 nm (proton line), 557.7 nm (brightest Auroral line caused by O(1S)) and 630 nm (O(1D)) with 1 nm target resolution. We will synthesize the quantum dots of the selective size and composition for the target wavelength range; print them on a quartz substrate to fabricate the spectrometer; integrate the spectrometer with a commercial detector array; calibrate each of the pixels to produce their response curves; develop a mathematical algorithm to reconstruct target spectra; and perform night sky measurement of air glow emissions (558 nm is the brightest line) to complete an end-to-end demonstration of the prototype.
						More »",Science Mission Directorate(SMD),,Heliophysics Technology and Instrument Development for Science,RoshanakHakimzadeh,RoshanakHakimzadeh,,MahmoodaSultana,,Feb2019,Dec2023,,,Goddard Space Flight Center(GSFC),,RobertGMichell,
35,Quantum-Limited Amplifiers for Detector Arrays on NASA's Inflation Probe,"Recently, a NASA satellite mission, the Inflation Probe, has been proposed to search for B-mode polarization in the Cosmic Microwave Background (CMB) the ""smoking gun"" for the theory of cosmic inflation and a window into physics at much higher energies than that possible in accelerator experiments. The two leading detector technologies for the Inflation Probe are the transition edge sensor (TES) and the microwave kinetic inductance detector (MKID). However, neither technology currently satisfies both the multiplexing and sensitivity requirements needed for the mission. I propose to resolve this issue by performing detector readout with the Dispersion-Engineered Traveling-Wave Kinetic Inductance (DTWKI) amplifier. To achieve this goal, the DTWKI must achieve greater than 20 dB gain over a fractional bandwidth of 30% on each side of the pump, large dynamic range, and near quantum-limited noise performance. However, the DTWKI is yet to realize these benchmarks. I propose a multi-pronged development program, based on experimental characterization of the DTWKI s component nitride thin films, optimization of transmission-line geometries, and new thermal-management techniques. The proposed work will involve extensive collaboration with NASA s JPL and the University of Pennsylvania. If successful, the DTWKI will have a revolutionary impact on observational astrophysics, enabling unprecedented sensitivity not only in the Inflation Probe, but also in NASA's far-infrared and X-ray astronomy missions.
						More »",Space Technology Mission Directorate(STMD),Stanford University(Stanford),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,PeterKDay,KentDIrwin,SaptarshiChaudhuri,Sep2014,Sep2018,,,,,,
36,Computer Optimization and 3D Printing of Quantum Dot Solar Cells,"The ability to assemble materials on the micro-to-nanometer scale continues to be an area of great scientific and technological interest. In the field of solar cells, using highly ordered arrays of nanoscale pillars as electrodes resulted in up to a 50% increase in solar cell efficiency compared to a flat electrode. Despite this success, it is challenging to predict from basic scientific principles which structures will improve photovolatic efficiency. Furthermore, current strategies for achieving structural control, such as self-assembly or etching, are extremely limited in the scope of structures that can be formed. My proposal explores exciting opportunities at the confluence of computer optimization and 3D printing to maximize efficiency of solar cells.  My proposed research will first apply this dual approach to the field of Quantum Dot (QD) assemblies for photovoltaics. Quantum dots hold tremendous potential for efficient solar energy conversion, which has broad impacts for our transition towards a sustainable energy portfolio. Despite impressive recent progress, one of the largest challenges in thin film QD solar cells is the poor extraction of photo-generated charges due to lack of continuous charge collection pathways. Therefore, even if exciton generation in QDs is record breaking, until there is sufficient control over QD assemblies that allows for collection of electrons at one of the electrodes, QD photovoltaic devices will not reach their full potential. The problem of inefficient charge collection is not specific to QD solar cells, and this research will enable more efficient overall solar cell design.  I initiated this research project because I saw the potential for computer optimization methods and 3D printing to vastly improve QD assemblies and their resultant photovoltaic performance. I sought out experts in these two very different fields and brought them together to collaborate on and solve this interdisciplinary problem. Both at Cornell University, Professor Hod Lipson in the Mechanical Engineering dept. is an expert in computational optimization and 3D printing, and Professor Tobias Hanrath in the Chemical Engineering dept. is an expert in QD assemblies. I will conduct my research jointly between their labs. I will use computational techniques to obtain optimized 3D structures for both the solar cell electrodes and for the QD assemblies. The best structures will be 3D printed and tested to verify the optimization methods. In the end, the optimization of structure by a combination of computer optimization and 3D printing will be broadly applicable to many technologies.
						More »",Space Technology Mission Directorate(STMD),Cornell University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,JohnACarr,TobiasHanrath,EliadPeretz,Aug2015,Jul2019,,,,,,
37,Many-Qubit Arrays for Analog and Digital-Analog Quantum Simulation,"In recent years, superconducting qubit technology has advanced to the point that it is becoming useful for noisy intermediate-scale quantum (NISQ) applications. Of this, much interest has been directed towards the utility of this platform for analog bosonic and hybrid digital-analog simulation for application-specific Hamiltonians. Superconducting qubit designs for quantum simulation offer advantages over other modalities, such as ion traps and neutral atoms, due to the ease of individual control and the broad tunability of qubit frequencies and couplings [1]. Superconducting circuit-based quantum simulation is also particularly advantageous for open quantum systems as it can be engineered to simulate coupling to a particular environment [2].   Advances in 3D integration of low-loss superconducting circuits compatible with high quality qubits has enabled development of increasingly large 2D transmon arrays [3]. The native coupling of these qubits is extremely well-suited to simulating the Bose-Hubbard model, permitting the study of a large range of mesoscale condensed matter physics. Even small-scale simulations of these systems, on the order of a currently fabricable 6x6 qubit grid, exceed the capabilities of classical computation. Further, these qubit arrays can be used to create multi-photon entangled states when strongly coupled to 1D superconducting waveguides [4]. This entanglement can then be distributed to multiple qubits using artificial giant atoms that allow the qubit-waveguide coupling to be tuned dynamically [5]. The coherent preparation of many-body entangled states in this way may permit simulation of non-local interactions as well as fermionic coupling to bosonic continua.
						More »",Space Technology Mission Directorate(STMD),Massachusetts Institute of Technology(MIT),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,EleanorGRieffel,WilliamDOliver,SarahMuschinske,Aug2019,Jul2023,,,,,,
38,"InN-Based Quantum Dot Solar Cells, Phase II","The goal of this STTR program is to employ nanostructured materials in an advanced device design to enhance the tolerance of solar cells to extreme environments while maintaining high solar electric power conversion efficiency.  By using InN-based quantum dots embedded within a higher band gap GaN barrier material, a larger fraction of the solar spectrum can be harnessed while minimizing the effects of high temperatures and high-energy radiation with this promising photovoltaic device.  The wide range of energies accessible to InN-based materials provides unique flexibility in designing quantum dot solar cell structures.  Phase I work demonstrated the feasibility of synthesizing device quality InN-based quantum dots.  InN quantum dot assemblies were grown on GaN templates via metalorganic chemical vapor deposition and exhibited well defined x-ray diffraction peaks with dot densities up to 1E10 cm-2.  More importantly, strong room temperature photoluminescence has been observed, with peak emission energies ranging from the infrared to the ultraviolet.  These promising optical properties suggest it will be possible to build structures incorporating InN quantum dots within a GaN p-n junction to test the basic concepts of quantum dot solar cells during the Phase II effort.  The principal Phase II objective is to develop an InN-based quantum dot solar cell capable of high performance in near-sun and extreme radiation environments.  Ultimately our approach provides a pathway for realizing solar cells with over 2,000 W/kg of specific power and power conversion efficiency approaching 60%.
						More »",Space Technology Mission Directorate(STMD),,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Sep2008,Sep2010,,,Glenn Research Center(GRC),,,
39,Room-Temperature Single-Photon Source for Secure Quantum Communication,"We are asking for four years of support for PhD student Justin Winkler's work on a research project entitled ""Room temperature single photon source for secure quantum communication"". This project will be carried out at the Institute of Optics of the University of Rochester, one of the world's best schools in quantum optics. To prepare for this project, J. Winkler has taken several advanced quantum optics courses at this University, including a quantum optics and quantum information laboratory course. J. Winkler is planning to work in the laboratory of Dr. Lukishova, who will be his PhD thesis advisor (http://www.optics.rochester.edu/users/lukishov/single-photon-source.shtml). This proposal is for the creation of a room temperature single photon source device with photons exhibiting antibunching (all photons are separated in time). Such a device is a pivotal element in a quantum communication system. Quantum cryptography allows for the absolutely secure distribution of cryptographic keys between two parties, ensuring the security of encrypted communication. The practical realization of quantum cryptographic schemes has been held back in part due to the difficulty in the creation of a robust source capable of producing antibunched photons on demand and at room temperature. In many quantum cryptography systems currently used, highly attenuated laser sources are used instead of single photon sources. Attenuated laser light is contaminated with bunches of multiple photons, and is therefore not secure against photon number splitting attacks. Antibunched photons are created by focusing a laser beam to excite a single photon emitter. A single emitter will emit one photon at a time due to its finite fluorescence lifetime. To create such a device, it is necessary to study and evaluate a variety of single photon emitters in different hosts, including colloidal quantum dots, color centers in nanodiamonds, and rare-earth doped nanocrystals. We will also study how to enhance the fluorescence of these single emitters using microcavities, photonic crystals, and metamaterials as hosts. The geometry of microcavities will be used to give the emitted photons a definite polarization, which is necessary to increase the efficiency of quantum cryptography systems. This project's long term goal is the creation of a compact and efficient room-temperature single photon source device. Study of these materials will be accomplished using confocal fluorescence microscopy along with a Hanbury Brown and Twiss setup. J. Winkler has already begun research on this project, where he has observed antibunched photons emitted from single colloidal quantum dots in a chiral liquid crystal photonic bandgap microcavity. J. Winkler has also carried out spectral measurements of single colloidal quantum dots in these microcavities. This research is of unique interest to NASA because of the potential of extending quantum communication to a space environment and allowing for absolutely secure communication on the global scale. A relevant project on quantum communication in space is being performed by Zeilinger's group at the University of Vienna, Austria, and is supported by the European Space Agency. Researchers from this group have sent photons to an orbiting satellite and subsequently observed photons that are reflected from the satellite in a manner meant to mimic a single photon source. This experiment serves to demonstrate the feasibility of establishing a single photon quantum link between Earth and Space.  We believe that this research is of interest of Dr. Sean Spillane, the NASA Ames Quantum Laboratory Experimental Lead (http://www.nasa.gov/centers/ames/research/qpl/spillane-index.html). Quantum communications technology area is included in NASA Communication and Navigation Systems Roadmap, November 2010, page TAO5-21. 
						More »",Space Technology Mission Directorate(STMD),University of Rochester,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,NanYu,SvetlanaLukishova,JustinJWinkler,Aug2011,Sep2015,,,,,,
40,Quantum Computing to Accelerate High Fidelity Computational Materials Modeling,"The future of quantum computing will require the development of both hardware and software to realize impactful research in scientific disciplines. There is currently a critical need to create the algorithms that will efficiently run physics and chemistry problems on quantum computing hardware. Quantum simulations are expected to be a domain where quantum computers will be highly impactful. Quantum computers have thus far been used to simulate small molecules but have yet to be applied to material science applications. Materials are different than molecules in several important ways and require their own efficient and practical quantum computing algorithms to be developed. It is our goal to develop the technology for such simulations. Dramatic speed-ups and increases in simulation capabilities are expected in material science simulations using quantum computers. Mainstream classical simulations in material science have limitations in the fidelity of results that can be produced with reasonable computing power. There is a range of methods that are currently used for classical simulations which includes density functional theory and quantum Monte Carlo, among others. Many of these approaches are adapted to run efficiently on modern computing architectures such as GPUs and large supercomputing platforms. However, for many applications such as excited states, defect modeling, surface catalysis, or generally materials with difficult to simulate strong electron-correlations, we are continually interested in improving our simulation approaches. For many material applications, it is evident that more accurate computations are required to simulate experimental conditions. While quantum computers are poised to make an impact in the field of materials simulation, state of the art quantum algorithms designed to run on quantum computers have so far been restricted to small molecules. Extending these calculations to more difficult systems in the realm of material science or otherwise has not been developed.
						More »",Space Technology Mission Directorate(STMD),,Center Innovation Fund: ARC CIF,MichaelRLapointe,HarryPartridge,,NormanMTubman,,Oct2019,Sep2020,,,Ames Research Center(ARC),,,
41,Entangled Photon Pair Source Based On Thin-Film Lithium-Niobate-On-Insulator Photonic Integrated Circuits,"Herein, PSI propose a system-on-chip (SoC) solution for an entangled photon pair source (EPPS) based on thin-film lithium niobate on insulator (TFLNOI) photonic integrated circuits (PIC). Using integrated photonic devices such as fiber coupler, waveguide, modulator, splitter/combiner and micro-ring, the proposed EPPS can generate and process the entangled photons with high efficiency and speed. In phase I effort, we developed theoretical models to study the spontaneous parametric down conversion (SPDC) conversion efficiencies based on both hybrid and ridge waveguide LNOI PIC designs. We have successfully demonstrated an in-situ monitored periodically poling process with small poling periods and large poling gaps. Leveraging other on-going PSI projects, we have also fabricated and characterized the key PIC components for the proposed EPPS chip, including low-loss waveguides, fiber coupler, high extinction splitter/combiner, micro-ring resonator and high-speed modulator. The phase I result paved a solid foundation toward a high-efficiency EPPS PIC chip. In phase II, we will continue the PIC components development focusing on the ridge waveguide designs, and experimentally demonstrate all the key PIC components. We will further refine the periodically poled LNOI (PPLNOI) process with improved accuracy and automation. Through the collaboration with RIT, our subcontractor, who has significant experiences in quantum photonic system testing and characterization, we will demonstrate the entanglement of the SPDC generated photon pair. Lastly, we will perform initial integration and packaging for the EPPS chip based on advanced photonic wire-bonding technology. Based on our pioneer work in TFLNOI PICs development and with our successful experiences in commercialization of SBIR research efforts, PSI is poised to develop, package, qualify and commercialize the proposed EPPS chip for tomorrow’s quantum communication demands.
						More »",Space Technology Mission Directorate(STMD),"Phase Sensitive Innovations, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,PengYao,,Dec2022,Dec2024,BrianEVyhnalek,,,,,
42,Narrow-Spectrum Two-Photon Sources for Space-Based Quantum Communication,"Quantum entanglement is a physical phenomenon that can be harnessed to increase the sensitivity of sensors, create unbreakable communication security, and enable powerful new computers. Space-based applications, however, require entangled photon sources that must operate in the presence of abundant sunlight. Because quantum techniques require the measurement of single photons, background light poses a formidable challenge. One of the major constraints limiting the effectiveness of filtering techniques is the large spectral bandwidth of the entangled photon sources themselves (~1-2nm). To address this problem, Qubitekk proposed to develop narrowband photon pair sources for space-based quantum communication. The Phase I effort revealed two approaches that are feasible with today’s technology and these two will form the basis of the Phase II effort. The first approach is to filter the output of a conventional single-pass downconversion source and to compensate for the reduced output by increasing the pump laser power. The second approach is based on cavity-enhanced downconversion, in which the nonlinear crystal is placed in an optical cavity that has the effect of enhancing emission at resonant wavelengths and suppressing emission elsewhere. Although this approach is more complex, much narrower bandwidths can be achieved, not only offering greater background discrimination but also a source capable of coupling to matter-based qubits. The latter feature is an important element of quantum repeater development. These two approaches will be achieved through the execution of four Technical Objectives: 1) Demonstrate filtered downconversion with strong pump; 2) Conduct studies of filtered downconversion with realistic lighting conditions; 3) Demonstrate cavity-enhanced downconversion; and 4)Demonstrate narrowband photon detection using an etalon filter.
						More »",Space Technology Mission Directorate(STMD),Qubitekk,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,KanchanaKarunaratne,,Jun2020,Aug2023,TheresaMStanley,,,,,
43,Narrow-Spectrum Two-Photon Sources for Space-Based Quantum Communication,"Entangled photons exhibit the unique property of non-locality – meaning the behavior of one photon is “dependent” upon the behavior of another photon, even when the photons are separated by vast differences. Originally created through fragile laboratory experiments, quantum entangled photon sources have matured recently into commercial sources that are rugged and much easier to use. With the growing availability of these commercial sources, new applications have begun to emerge. One such application, quantum key distribution, is the use of quantum entangled photons to create a never-ending supply of unbreakable cryptographic keys for secure satellite-to-satellite communications (see figure at right).To date, commercial entangled photon sources have been used primarily for terrestrial, indoor applications - where unwanted ambient light can be easily controlled. Space-based applications, however, require sources that must operate in the presence of abundant sunlight.One of the major constraints limiting the effectiveness of filtering techniques is the large spectral bandwidth of the entangled photon sources themselves (~1-2nm). This broad spectral output limits the ability of spectral filters to isolate the quantum signal, since the filter must have a comparable bandwidth to avoid reducing the intensity of the source. By developing a source with a narrowed spectral output, much greater isolation of the quantum signal is possible. Toward this goal, we propose to design a bright entangled photon source with a spectral bandwidth 100x narrower (<10pm) than today’s commercial sources. Evaluating the performance of four different design approaches, we will down-select the design that achieves the greatest improvement. Finally, we will show that this improvement, when combined with existing spatial and temporal filters, can achieve the isolation of quantum photons from natural solar photons required to conduct quantum key distribution between satellites.
						More »",Space Technology Mission Directorate(STMD),Qubitekk,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,WarrenGice,,Aug2019,Feb2020,JohnLekki,,,,,
44,Quantum Sensor for D/H Ratio Measurement in Water in Outer Planets,"Compact chip-scale nano-NMR sensors to measure D/H ratio in water of outer planets based on atomistic defects in semiconductors will have orders of magnitude improved sensitivity compared to classical NMR instruments. Our sensors will be able to detect D/H ratio in reduced sample size as the magnetic fields generated by small samples are too small for traditional sensors to detect. Microscopic modeling of noise and nuclear dipole fields will estimate spin and charge noise frequency-dependent spectra of the D/H ratio sensor with a given set of parameters including geometry, dimensions, surface termination composition, and temperature. Our computer-assisted design (CAD) software will be used in the optimization of the sensor for D/H ratio measurements of water by identifying configurations/designs and microwave (MW) interrogation protocols where the NMR signals from hydrogen and deuterium can be reliably measured from the underlying base noise and thus maximizing the sensitivity. We will design the optimal sensitivity of the sensor based on tradeoffs for isotopic purity, regularity of thickness of substrate material and defect occurrence. A Phase II plan will be constructed, identifying the issues related to device growth and fabrication, testing, and integration. Plans will be developed to mitigate issues and partners confirmed for the Phase II project.
						More »",Space Technology Mission Directorate(STMD),"QuantCAD, LLC",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,AdonaiCruz,,Aug2023,Feb2024,SrihariRajgopal,,,,,
45,Computational Studies of Inelastic Scattering using Mixed Quantum/Classical Theory,"Molecules are an important component of the universe that dominates the cooling process and determines the degree of ionization of interstellar gas clouds and, hence, regulates star and planet formation. The exploration of paths toward chemical complexity in space has direct bearing on the origin and evolution of life. Moreover, molecular transitions provide a sensitive probe of the dynamics and the physical and chemical conditions in a wide range of objects at scales ranging from newly forming planetary systems to galactic and extragalactic sizes.  In the vast majority of the conditions present in the interstellar/circumstellar/cometary media, the so-called collisional de-excitation rate coefficients are indispensable to convert an observed signal into a species column density and, therefore, abundance, and to constrain the density and temperature of the emitting or absorbing gas. However, a significant part of this information is still missing and there is no simple way of determining it from the laboratory experiments.  In order to fill this serious gap, we will approach the problem by employing a mixture of quantum and classical mechanics in a state-of-the-art theoretical approach to the dynamics of molecule + quencher collision. We showed that it is feasible to simplify the physical model and gain a significant computational advantage by treating selected degrees of freedom classically, while the most important internal degrees of freedom are still treated quantum mechanically. In this project we propose to carry out:  i) Benchmark MQCT calculations of rotational quenching of H2O (including deuterated forms) by H2 at lower temperatures first, to compare against the existing full-quantum scattering calculations, but then at higher temperatures where no accurate data exists, up to , typical to hot cores and corinos, outflow shocks, and the innermost regions of protoplanetary discs.  ii) Conceptually new calculations of ro-vibrational quenching and excitation of the most astronomically relevant excited bending mode of H2O, first by atomic quencher, He, and then by molecular quencher, H2, using MQCT, in a broad range of temperatures, up to  when these processes become important (typical to red supergiant stars).  iii) First detailed calculations for H2O + H2O rotational quenching and excitation within MQCT framework in the temperature range  relevant to warm star-forming regions or cometary environment. Deuterated forms of ortho/para-water can all be studied.
						More »",Science Mission Directorate(SMD),,Astrophysics Research and Analysis,MichaelAGarcia,DominicJBenford,,DmitriBabikov,KatherineDurben,Jan2017,Dec2019,,,,,,
46,Nano-Optic Probing of Vibrational Modes of Defects and Color Centers in Semiconductors,"Defect-based single-photon emitters (SPEs) have a significant advantage in quantum sensing and quantum communications because of their robustness to non-ideal environments and atomic-size footprint. This proposal investigates the origins of point defects in wide bandgap semiconductors as well as their interactions with the host crystal. Photoluminescence (PL) spectroscopy is the standard technique for characterizing SPEs but may not capture local lattice effects like strain or vibrational modes that can influence the emission. This proposal uses infrared nano-optic probes to characterize the local vibrational properties that arise from defect SPEs, and spatially correlate with their PL spectral signatures. Scattering-type scanning near-field optical microscopy (s-SNOM) and nanoscale Fourier transform infrared (nano-FTIR) spectroscopy—with full spectral coverage between 5-15 μm and < 20 nm spatial resolution—can examine the behavior of materials beyond their bulk properties and provide vital information for the development of quantum devices. Exciting SPEs with either an ultraviolet (390 nm) or near-infrared (1560 nm) ultrafast pump laser creates a non- equilibrium environment that can be probed with ultrafast nano-FTIR (< 200 fs) and reveal local lattice dynamics and interactions. The outcome of this work will create an efficient, non-destructive method for identifying defect SPEs and uncover information about the local influence of lattice vibrations, which have been theorized as a possible means of deterministic entanglement, an essential component for quantum technologies.
						More »",Space Technology Mission Directorate(STMD),Vanderbilt University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,ZhigangWu,JoshuaCaldwell,RyanKowalski,Aug2022,Jul2026,,,,,,
47,"Quantum Dot Spectrum Converters for Enhanced High Efficiency Photovoltaics, Phase I","This research proposes to enhance solar cell efficiency, radiation resistance and affordability. The Quantum Dot Spectrum Converter (QDSC) disperses quantum dots into the transparent silicone layer that normally functions as coverglass adhesive. The Quantum Dots (QD) act as a fluorescent spectrum converter for solar cells, to allow the use of the 20-50% of the solar spectrum unavailable to today's highest efficiency solar cells. By selecting QD's of particular compositions and sizes, we customize absorption and emission spectra to down-convert UV photons, including multiple exciton generation, and up-convert IR photons in a multiple photon process. This approach overcomes the fundamental 'red-loss' and 'blue-loss' limitations, allowing more efficiency from conventional single- and multi-bandgap photovoltaic devices. We also explore the use of a QDSC in a non-tracking fluorescent concentrator for enhancing flux and shielding for solar cells and in thermophotovoltaic systems as a means of enhancing efficiency while eliminating selective emitters. These approaches address the topic need for significantly improved efficiency and radiation hardening for deep space missions ? the QDSC can significantly enhance conversion efficiency of qualified, high-efficiency cells, while its implementation in a luminescent or thermophotovoltaic concentrator allows solar cells to be shielded from adverse radiation and thermal environments.
						More »",Space Technology Mission Directorate(STMD),,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Jan2006,Jul2006,,,Glenn Research Center(GRC),,,
48,"Quantum Fingerprint-Based Air Quality Monitoring in Coastal Environments, Phase I","Coastal environments vital to our nation are strongly impacted by natural and human factors and are also sensitive to global climate change.  A need exists for innovative new field measurement technologies to support NASA's remote sensing efforts in coastal regions.  Two specific subjects of interest include the air quality in coastal regions and algal blooms.  We proposed to develop for commercialization a Quantum FingerprintTM sensor based on a sapphire substrate that can be used for both even though they are not closely related.  For air quality measurement in the coastal environment we will use the flexible QFTM technology to simultaneously detect, discriminate, and quantify levels of SOx and NOx.  This flexibility, which arises from the unique set of energy levels created by the interaction of each species with the sensor, will also allow the same sensor to detect and monitor algal blooms by keying on their characteristic gaseous emissions.  Thus, arrays of QFTM sensors, both on and off shore, could simultaneously monitor coastal air quality and track algal blooms.  Our goal is to assess how well two relatively different applications might be served by a single type of QFTM sensor when they occur in the same geographic area.
						More »",Space Technology Mission Directorate(STMD),,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Jan2007,Jan2008,,,Stennis Space Center(SSC),,,
49,Plasma based growth of diamond semiconductor in microgravity with controlled color centers for quantum applications,"The overall goal of this project is to successfully prepare diamond films with controlled color centers in microgravity, suitable for various terrestrial quantum technologies being pursued for extensive commercial applications in quantum sensing, quantum cryptography, quantum computing and quantum information processing. The major technical issues currently include realization of distinguishable emission, improving photon collection efficiency and other practical issues, all related to material quality, control of color centers (their location and distribution) and manufacturing technologies. There is an opportunity to address the above issues and develop a clear understanding of controlling mechanisms in the growth and incorporation of color centers through microgravity experiments that can eventually lead to manufacturing facilities in space. We aim to conduct microgravity experimental studies in four years from the start of Phase I. An existing plasma based printer, originally developed as an alternative to inkjet and aerosol jet printing and successfully commercialized, will be adapted into a plasma reactor in the proposed project. Availability of this hardware significantly reduces the risk in the proposed effort. The Phase I effort will demonstrate the capability of growing diamond using the plasma printer operated in a plasma enhanced chemical vapor deposition mode and methane-hydrogen precursors. Diamond films will also be printed using diamond nanopowder ink. Silicon color centers will be incorporated onto the diamond films from both cases above simply by injecting silicon ink into the plasma printer. In addition to these preliminary demonstrations, the Phase I effort will prepare a clear plan for the microgravity preparation of diamond films with controlled color centers, assess modifications necessary for the plasma printer for microgravity operation, and conduct design and process development studies for successful microgravity experiments.
						More »",Space Technology Mission Directorate(STMD),"Space Foundry, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,RamPrasadGandhiraman,,Aug2023,Feb2024,TheresaMStanley,,,,,
50,"Flexible, Lightweight Quantum Dot Solar Cells Using Plasmonic-Enhanced Light Absorption","Solar cells, or photovoltaic cells, are critical to NASA operations due to the abundance and availability of solar power. Current photovoltaic technology is based on bulk semiconductor wafers, which are typically non-conformal. In contrast, flexible, lightweight solar cells can be incorporated on to the surfaces of rovers and habitats. This can be used to generate auxiliary power that can power additional sensors or extend the battery life during space exploration. This research proposes the fabrication of solar cells that are conformal and inexpensive, and can be adhered to a variety of surfaces that were previously unsuitable for photovoltaic technology. The objective of this research proposal is to fabricate the first flexible, efficient, quantum dot solar cell. The nanoscopic quantum dots are critical to this device because of their enhanced optical properties and solution-processability. Solution-processability reduces the required material because thin semiconductor quantum dot films can be deposited using low cost methods, such as inkjet printing. Not only does this reduce the weight and cost of the device, but it also enables the use of flexible and conformal substrates. Thus, solution-processable quantum dots can improve the optical efficiency, reduce the weight and cost, and enable flexible and conformal devices. As a trade-off, additional plasmonic-enhanced light absorption techniques will be required to achieve high power conversion efficiencies. This plasmonic-ehanced light absorption requires metal nanoparticles to scatter and concentrate light in the solar cell. Using nano-scale structures can improve solar cell power conversion efficiency in a lightweight, flexible device. To achieve the optimal design configuration, the quantum dot films must be fabricated and characterized. Once the quantum dot film can be quantified in electrical and optical terms, the device performance can be modeled. In particular, modeling of optical behavior is performed by finite-difference time-domain (FDTD) simulation software, whereas electronic behavior is modeled using a solar cell simulation tool, PC1D. Since many of the device parameters are inter-related to the device performance, both electronic and optical simulation results must be used to optimize all of the device parameters. After optimization, an efficient, flexible, lightweight quantum dot solar cell can be fabricated. In addition to improving photovoltaic technology, research in this field can advance the understanding of nano-scale device design. These quantum dots contain approximately 100 to 100,000 atoms and behave very differently from their macroscopic counterparts. Since many of the properties observed at this nanoscopic scale are governed by the principles of quantum mechanics, on-going research must relate nano-scale phenomena to macroscopic behavior. Both experimental and simulation techniques are used in this research proposal to relate theory of nano-scale phenomena into a real-world, functional device.
More »",Space Technology Mission Directorate(STMD),University of Washington-Seattle Campus(UW),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,AnnaMariaTPal,LihLin,ErinMSanehira,Jun2015,Jul2017,,,,,,
